Entry,SIDC
SEA SURFACE TRACK COMBATANT PATROL ANTI SURFACE WARFARE,S*S*CPSU--
SEA SURFACE TRACK COMBATANT HOVERCRAFT,S*S*CH----
SEA SURFACE TRACK COMBATANT NAVY GROUP,S*S*G-----
SEA SURFACE TRACK COMBATANT NAVY GROUP NAVY TASK FORCE,S*S*GT----
SEA SURFACE TRACK COMBATANT NAVY GROUP NAVY TASK GROUP,S*S*GG----
SEA SURFACE TRACK COMBATANT NAVY GROUP NAVY TASK UNIT,S*S*GU----
SEA SURFACE TRACK COMBATANT NAVY GROUP NAVY TASK ELEMENT,S*S*GE----
SEA SURFACE TRACK COMBATANT NAVY GROUP CONVOY,S*S*GC----
SEA SURFACE TRACK NONCOMBATANT,S*S*N-----
SEA SURFACE TRACK NONCOMBATANT UNDERWAY REPLENISHMENT,S*S*NR----
"SEA SURFACE TRACK NONCOMBATANT UNDERWAY REPLENISHMENT UNDERWAY REPLENISHMENT, AMMO",S*S*NRA---
"SEA SURFACE TRACK NONCOMBATANT UNDERWAY REPLENISHMENT UNDERWAY REPLENISHMENT, OIL",S*S*NRO---
"SEA SURFACE TRACK NONCOMBATANT FLEET SUPPORT, TUG, OCEAN GOING",S*S*NFT---
SEA SURFACE TRACK NONCOMBATANT INTELLIGENCE,S*S*NI----
SEA SURFACE TRACK NONCOMBATANT HOSPITAL SHIP,S*S*NM----
SEA SURFACE TRACK NONCOMBATANT REPAIR SHIP,S*S*NR----
SEA SURFACE TRACK NONCOMBATANT SUBMARINE TENDER,S*S*NTS---
SEA SURFACE TRACK NONCOMBATANT HOVERCRAFT,S*S*NH----
SEA SURFACE TRACK NONCOMBATANT SERVICE & SUPPORT HARBOUR,S*S*NS----
SEA SURFACE TRACK NON MILITARY,S*S*X-----
SEA SURFACE TRACK NON MILITARY MERCHANT,S*S*XM----
SEA SURFACE TRACK NON MILITARY MERCHANT CARGO,S*S*XMC---
SEA SURFACE TRACK NON MILITARY MERCHANT ROLL ON-ROLL OFF,S*S*XME---
SEA SURFACE TRACK NON MILITARY MERCHANT OILER/TANKER,S*S*XMO---
SEA SURFACE TRACK NON MILITARY MERCHANT TUG,S*S*XMT---
SEA SURFACE TRACK NON MILITARY MERCHANT FERRY,S*S*XMF---
SEA SURFACE TRACK NON MILITARY MERCHANT PASSENGER,S*S*XMP---
SEA SURFACE TRACK NON MILITARY MERCHANT HAZARDOUS MATERIALS,S*S*XMH---
SEA SURFACE TRACK NON MILITARY MERCHANT DREDGE,S*S*XMD---
SEA SURFACE TRACK NON MILITARY FISHING,S*S*XF----
SEA SURFACE TRACK NON MILITARY FISHING DRIFTER,S*S*XFDF--
SEA SURFACE TRACK NON MILITARY FISHING DREDGE,S*S*XFDR--
SEA SURFACE TRACK NON MILITARY FISHING TRAWLER,S*S*XFTR--
SEA SURFACE TRACK NON MILITARY LEISURE CRAFT,S*S*XR----
SEA SURFACE TRACK NON MILITARY LAW ENFORCEMENT VESSEL,S*S*XL----
SEA SURFACE TRACK NON MILITARY HOVERCRAFT,S*S*XH----
SEA SURFACE TRACK OWN TRACK,S*S*O-----
SEA SURFACE TRACK EMERGENCY,S*S*E-----
SEA SURFACE TRACK EMERGENCY DITCHED AIRCRAFT,S*S*ED----
SEA SURFACE TRACK EMERGENCY PERSON IN WATER,S*S*EP----
SEA SURFACE TRACK EMERGENCY DISTRESSED VESSEL,S*S*EV----
SEA SURFACE TRACK HAZARD,S*S*Z-----
SEA SURFACE TRACK HAZARD SEA MINELIKE,S*S*ZM----
SEA SURFACE TRACK HAZARD NAVIGATIONAL,S*S*ZN----
SEA SURFACE TRACK HAZARD ICEBERG,S*S*ZI----
INSTALLATION,S*G*I-----
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE,S*G*IR----
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE MINE,S*G*IRM---
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE PETROLEUM/GAS/OIL,S*G*IRP---
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE CBRN,S*G*IRN---
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE CBRN BIOLOGICAL,S*G*IRNB--
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE CBRN CHEMICAL,S*G*IRNC--
INSTALLATION RAW MATERIAL PRODUCTION/STORAGE CBRN NUCLEAR,S*G*IRNN--
INSTALLATION PROCESSING FACILITY,S*G*IP----
INSTALLATION PROCESSING FACILITY DECON,S*G*IPD---
INSTALLATION EQUIPMENT MANUFACTURE,S*G*IE----
"INSTALLATION SERVICE, RESEARCH, UTILITY FACILITY",S*G*IU----
"INSTALLATION SERVICE, RESEARCH, UTILITY FACILITY TECHNOLOGICAL RESEARCH FACILITY",S*G*IUR---
"INSTALLATION SERVICE, RESEARCH, UTILITY FACILITY TELECOMMUNICATIONS FACILITY",S*G*IUT---
"INSTALLATION SERVICE, RESEARCH, UTILITY FACILITY ELECTRIC POWER FACILITY",S*G*IUE---
"INSTALLATION SERVICE, RESEARCH, UTILITY FACILITY PUBLIC WATER SERVICES",S*G*IUP---
INSTALLATION MILITARY MATERIEL FACILITY,S*G*IM----
INSTALLATION MILITARY MATERIEL FACILITY ATOMIC ENERGY PRODUCTION,S*G*IMF---
INSTALLATION MILITARY MATERIEL FACILITY AIRCRAFT PRODUCTION & ASSEMBLY,S*G*IMA---
INSTALLATION MILITARY MATERIEL FACILITY AMMUNITION AND EXPLOSIVES PRODUCTION,S*G*IME---
INSTALLATION MILITARY MATERIEL FACILITY ARMAMENT PRODUCTION,S*G*IMG---
INSTALLATION MILITARY MATERIEL FACILITY MILITARY VEHICLE PRODUCTION,S*G*IMV---
INSTALLATION MILITARY MATERIEL FACILITY ENGINEERING EQUIPMENT PRODUCTION,S*G*IMN---
INSTALLATION MILITARY MATERIEL FACILITY ENGINEERING EQUIPMENT PRODUCTION BRIDGE,S*G*IMNB--
INSTALLATION MILITARY MATERIEL FACILITY CHEMICAL & BIOLOGICAL WARFARE PRODUCTION,S*G*IMC---
INSTALLATION MILITARY MATERIEL FACILITY SHIP CONSTRUCTION,S*G*IMS---
INSTALLATION MILITARY MATERIEL FACILITY MISSILE & SPACE SYSTEM PRODUCTION,S*G*IMM---
INSTALLATION GOVERNMENT LEADERSHIP,S*G*IG----
INSTALLATION MILITARY BASE/FACILITY,S*G*IB----
INSTALLATION MILITARY BASE/FACILITY AIRPORT/AIRBASE,S*G*IBA---
INSTALLATION MILITARY BASE/FACILITY SEAPORT/NAVAL BASE,S*G*IBN---
INSTALLATION TRANSPORT FACILITY,S*G*IT----
INSTALLATION MEDICAL FACILITY,S*G*IX----
INSTALLATION MEDICAL FACILITY HOSPITAL,S*G*IXH---
SEA SURFACE INSTALLATION,S*G*IR----
SEA SURFACE INSTALLATION SEA SURFACE INSTALLATION,S*G*IRR---
GROUND TRACK EQUIPMENT,S*G*E-----
GROUND TRACK EQUIPMENT WEAPONS,S*G*EW----
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS,S*G*EWM---
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS AIR DEFENCE (AD) MISSILE LAUNCH,S*G*EWMA--
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS AIR DEFENCE (AD) MISSILE LAUNCH SHORT RANGE AD MISSILE LAUNCHERS,S*G*EWMAS-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS AIR DEFENCE (AD) MISSILE LAUNCH INTERMEDIATE RANGE AD MISSILE LAUNCH,S*G*EWMAI-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS AIR DEFENCE (AD) MISSILE LAUNCH LONG RANGE AD MISSILE LAUNCH,S*G*EWMAL-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS AIR DEFENCE (AD) MISSILE LAUNCH AD MISSILE LAUNCH THEATRE,S*G*EWMAT-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS SURFACE-SURFACE (SS) MISSILE LAUNCHER,S*G*EWMS--
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS SURFACE-SURFACE (SS) MISSILE LAUNCHER SHORT RANGE SS MISSILE LAUNCH,S*G*EWMSS-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS SURFACE-SURFACE (SS) MISSILE LAUNCHER INTERMEDIATE RANGE SS MISSILE LAUNCH,S*G*EWMSI-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS SURFACE-SURFACE (SS) MISSILE LAUNCHER LONG RANGE SS MISSILE LAUNCH,S*G*EWMSL-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS MISSILE LAUNCHERS ANTI TANK (AT),S*G*EWMT--
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS MISSILE LAUNCHERS ANTI TANK (AT) MISSILE LAUNCHERS AT LIGHT,S*G*EWMTL-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS MISSILE LAUNCHERS ANTI TANK (AT) MISSILE LAUNCHER AT MEDIUM,S*G*EWMTM-
GROUND TRACK EQUIPMENT WEAPONS MISSILE LAUNCHERS MISSILE LAUNCHERS ANTI TANK (AT) MISSILE LAUNCHER AT HEAVY,S*G*EWMTH-
GROUND TRACK EQUIPMENT WEAPONS SINGLE ROCKET LAUNCHER,S*G*EWS---
GROUND TRACK EQUIPMENT WEAPONS SINGLE ROCKET LAUNCHER SINGLE ROCKET LAUNCHER LIGHT,S*G*EWSL--
GROUND TRACK EQUIPMENT WEAPONS SINGLE ROCKET LAUNCHER SINGLE ROCKET LAUNCHER MEDIUM,S*G*EWSM--
GROUND TRACK EQUIPMENT WEAPONS SINGLE ROCKET LAUNCHER SINGLE ROCKET LAUNCHER HEAVY,S*G*EWSH--
GROUND TRACK EQUIPMENT WEAPONS MULTIPLE ROCKET LAUNCHER,S*G*EWX---
GROUND TRACK EQUIPMENT WEAPONS MULTIPLE ROCKET LAUNCHER MULTIPLE ROCKET LAUNCHER LIGHT,S*G*EWXL--
GROUND TRACK EQUIPMENT WEAPONS MULTIPLE ROCKET LAUNCHER MULTIPLE ROCKET LAUNCHER MEDIUM,S*G*EWXM--
GROUND TRACK EQUIPMENT WEAPONS MULTIPLE ROCKET LAUNCHER MULTIPLE ROCKET LAUNCHER HEAVY,S*G*EWXH--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK ROCKET LAUNCHER,S*G*EWT---
GROUND TRACK EQUIPMENT WEAPONS ANTITANK ROCKET LAUNCHER ANTITANK ROCKET LAUNCHER LIGHT,S*G*EWTL--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK ROCKET LAUNCHER ANTITANK ROCKET LAUNCHER MEDIUM,S*G*EWTM--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK ROCKET LAUNCHER ANTITANK ROCKET LAUNCHER HEAVY,S*G*EWTH--
